county_name,cbp_small_biz_count,crunchbase_count,state_abbv,pop_est_2013,state_name,crunchbase_per_capita,cbp_per_capita,land_area_sqmile,pop_density
McMinn County,882,0,TN,52341,Tennessee,0,0.016851035,430.125,121.6878814
Watauga County,1560,8,NC,52372,North Carolina,0.000152753,0.029786909,312.556,167.5603732
Darke County,1161,1,OH,52376,Ohio,1.90927E-05,0.022166641,598.1,87.57064036
Elko County,1092,1,NV,52384,Nevada,1.90898E-05,0.02084606,17169.834,3.050932234
Ogle County,1053,0,IL,52385,Illinois,0,0.020101174,758.574,69.0572047
Eagle County,3214,5,CO,52460,Colorado,9.53107E-05,0.061265726,1684.53,31.14221771
Van Zandt County,836,0,TX,52481,Texas,0,0.015929575,842.557,62.287774
Vernon Parish,726,0,LA,52606,Louisiana,0,0.013800707,1327.91,39.6156366
Henry County,832,0,VA,52617,Virginia,0,0.01581238,322.127,655.4185151
St. Charles Parish,938,0,LA,52617,Louisiana,0,0.017826938,279.083,188.5353103
Hood County,1211,0,TX,52905,Texas,0,0.022890086,420.641,125.7723332
St. Martin Parish,954,2,LA,52936,Louisiana,3.77815E-05,0.018021762,737.648,71.76322582
Jackson County,853,0,AL,52951,Alabama,0,0.016109233,490.755,83.37969048
Ashland County,1024,0,OH,53043,Ohio,0,0.019305092,422.95,125.4119872
Roane County,717,0,TN,53047,Tennessee,0,0.013516316,360.708,147.0635528
Gila County,1012,4,AZ,53053,Arizona,7.53963E-05,0.019075264,4757.933,11.15043024
La Plata County,2293,7,CO,53284,Colorado,0.000131372,0.043033556,1692.078,31.49027409
Union County,996,53,OH,53306,Ohio,0.00099426,0.018684576,342.849,43.83562443
Coffee County,1206,21,TN,53357,Tennessee,0.000393575,0.02260247,678.972,75.0222395
Halifax County,991,0,NC,53453,North Carolina,0,0.018539652,724.086,73.82134166
St. Mary Parish,1311,0,LA,53543,Louisiana,0,0.024484993,555.379,96.40803847
Taney County,1752,3,MO,53575,Missouri,5.59963E-05,0.03270182,632.436,84.71212897
Rusk County,834,0,TX,53622,Texas,0,0.015553318,913.585,15.75660721
Grady County,1101,0,OK,53685,Oklahoma,0,0.020508522,1100.497,48.78250463
Coles County,1184,1,IL,53697,Illinois,1.8623E-05,0.022049649,508.291,105.6422404
Pulaski County,709,0,MO,53748,Missouri,0,0.013191189,199.185,29.66086804
Chisago County,1200,0,MN,53761,Minnesota,0,0.022321013,414.862,129.5876701
Lincoln County,896,1,MO,53860,Missouri,1.85667E-05,0.016635722,561.517,24.98766734
Tuolumne County,1287,10,CA,53874,California,0.000185618,0.023889075,2220.884,24.25790811
Venango County,1203,0,PA,53907,Pennsylvania,0,0.022316211,674.284,79.94702529
Boone County,844,0,IL,53957,Illinois,0,0.015642085,280.719,192.2100036
Carson City,1934,10,NV,54080,Nevada,0.000184911,0.035761834,144.662,373.836944
Tuscola County,854,0,MI,54263,Michigan,0,0.015738164,803.127,67.56465665
Effingham County,672,0,GA,54456,Georgia,0,0.012340238,477.7,113.9962319
Colbert County,1222,3,AL,54520,Alabama,5.50257E-05,0.022413793,592.619,91.99840032
Johnson County,915,0,MO,54572,Missouri,0,0.01676684,343.915,36.86085225
Fulton County,1180,0,NY,54586,New York,0,0.021617265,495.469,110.1703638
Hancock County,2189,10,ME,54845,Maine,0.000182332,0.039912481,1586.893,34.56124641
Washington County,1170,2,VA,54907,Virginia,3.64252E-05,0.021308758,457.78,326.7683167
Pearl River County,808,1,MS,55072,Mississippi,1.8158E-05,0.014671702,810.863,67.91776169
Jefferson County,824,2,WV,55073,West Virginia,3.63154E-05,0.01496196,360.631,90.00335523
Campbell County,1154,0,VA,55235,Virginia,0,0.02089255,503.867,109.622182
Autauga County,816,0,AL,55246,Alabama,0,0.0147703,594.436,92.93851651
Pender County,950,0,NC,55334,North Carolina,0,0.017168468,869.795,63.61728913
Hardin County,805,1,TX,55417,Texas,1.8045E-05,0.014526228,470.405,67.26331565
